lat,lng,franchise,store
37.5769696,127.0020331,스타벅스,스타벅스 대학로점
37.5606707,126.9737639,스타벅스,스타벅스 대한상공회의소R점
37.5258975,126.9284261,스타벅스,스타벅스 더현대서울(B2)R
37.492877,127.041419,스타벅스,스타벅스 도곡공원점
37.4921442,127.0573977,스타벅스,스타벅스 도곡역점
37.5195638,127.0340614,스타벅스,스타벅스 도산사거리점
37.5712586,126.9614963,스타벅스,스타벅스 독립문역
37.468955,126.895603,스타벅스,스타벅스 독산역점
37.5568,126.9199678,스타벅스,스타벅스 동교점
37.5582876,127.0001671,스타벅스,스타벅스 동국대점
37.5651893,127.0072304,스타벅스,스타벅스 동대문공원점
37.5689316,127.0087977,스타벅스,스타벅스 동대문두타점
37.5595901,127.0061231,스타벅스,스타벅스 동대입구역점
37.572746,127.015986,스타벅스,스타벅스 동묘앞역점
37.5211311,126.9690522,스타벅스,스타벅스 동부이촌동점
37.528964,126.991805,스타벅스,스타벅스 동빙고점
37.5820171,127.0035363,스타벅스,스타벅스 동숭길입구점
37.5829419,127.0038862,스타벅스,스타벅스 동숭로아트점
37.5204905,126.9315303,스타벅스,스타벅스 동여의도점
37.522741,127.133992,스타벅스,스타벅스 둔촌동점
37.4858711,126.8915302,스타벅스,스타벅스 드림마크원점
37.5503797,126.8665975,스타벅스,스타벅스 등촌대로점
37.5582043,126.8443392,스타벅스,스타벅스 등촌역점
37.5582043,126.8443392,스타벅스,스타벅스 등촌점
37.546432,127.0490419,스타벅스,스타벅스 뚝섬역점
37.531544,127.066708,스타벅스,스타벅스 뚝섬유원지역
37.5199093,126.9317832,스타벅스,스타벅스 롯데캐슬 여의도점
37.5681892,126.8261933,스타벅스,스타벅스 마곡나루역점
37.5606962,126.8336086,스타벅스,스타벅스 마곡사이언스타워R점
37.5619185,126.826919,스타벅스,스타벅스 마곡역점
37.5604321,126.8295888,스타벅스,스타벅스 마곡웰튼점
37.5604321,126.8295888,스타벅스,스타벅스 마곡GMG점
37.4785353,126.8847309,스타벅스,스타벅스 마리오아울렛점
37.5508847,126.9535067,스타벅스,스타벅스 마포경찰서후문
37.5412537,126.9489374,스타벅스,스타벅스 마포아크로점
37.5411219,126.9420858,스타벅스,스타벅스 마포용강동점
37.542226,126.953578,스타벅스,스타벅스 마포이마트
37.54043,126.94632,스타벅스,스타벅스 마포일진빌딩점
37.5557309,126.9107312,스타벅스,스타벅스 망원역점
37.5539804,126.8963214,스타벅스,스타벅스 망원한강공원점
37.5638244,126.9857117,스타벅스,스타벅스 명동 중앙로
37.5619765,126.9858402,스타벅스,스타벅스 명동길점
37.5537586,126.9809696,스타벅스,스타벅스 명동남산
37.5650962,126.9837163,스타벅스,스타벅스 명동메트로
37.5609892,126.9861868,스타벅스,스타벅스 명동역
37.5631654,126.9822225,스타벅스,스타벅스 명동입구
37.5638244,126.9857117,스타벅스,스타벅스 명동중앙로
37.5525539,127.1437525,스타벅스,스타벅스 명일역점
37.5539649,127.1559881,스타벅스,스타벅스 명일이마트점
37.542042,126.8758279,스타벅스,스타벅스 목동10단지점
37.536448,126.8821667,스타벅스,스타벅스 목동5단지점
37.528015,126.87057,스타벅스,스타벅스 목동7단지점
37.520518,126.8688409,스타벅스,스타벅스 목동8단지점
37.5266769,126.8639586,스타벅스,스타벅스 목동역점
37.5259231,126.868438,스타벅스,스타벅스 목동오목로점
